ano;mes;ventas
2013;1;3038
2013;2;3420
2013;3;3138
2013;4;4137
2013;5;4302
2013;6;3374
2013;7;4802
2013;8;1573
2013;9;4417
2013;10;4442
2013;11;3560
2013;12;4137
2014;1;2737
2014;2;3040
2014;3;3449
2014;4;3145
2014;5;3420
2014;6;3607
2014;7;4421
2014;8;1324
2014;9;4443
2014;10;3686
2014;11;3318
2014;12;3637
2015;1;2699
2015;2;3073
2015;3;3312
2015;4;2968
2015;5;2849
2015;6;3172
2015;7;4117
2015;8;1251
2015;9;3953
2015;10;3362
2015;11;3292
2015;12;3385
2016;1;2385
2016;2;2870
2016;3;2930
2016;4;3334
2016;5;3130
2016;6;3276
2016;7;1961
