A;B;C;D;E;Y
-1;-1;-1;-1;-1;61
1;-1;-1;-1;-1;53
-1;1;-1;-1;-1;63
1;1;-1;-1;-1;61
-1;-1;1;-1;-1;53
1;-1;1;-1;-1;56
-1;1;1;-1;-1;54
1;1;1;-1;-1;61
-1;-1;-1;1;-1;69
1;-1;-1;1;-1;61
-1;1;-1;1;-1;94
1;1;-1;1;-1;93
-1;-1;1;1;-1;66
1;-1;1;1;-1;60
-1;1;1;1;-1;95
1;1;1;1;-1;98
-1;-1;-1;-1;1;56
1;-1;-1;-1;1;63
-1;1;-1;-1;1;70
1;1;-1;-1;1;65
-1;-1;1;-1;1;59
1;-1;1;-1;1;55
-1;1;1;-1;1;67
1;1;1;-1;1;65
-1;-1;-1;1;1;44
1;-1;-1;1;1;45
-1;1;-1;1;1;78
1;1;-1;1;1;77
-1;-1;1;1;1;49
1;-1;1;1;1;42
-1;1;1;1;1;81
1;1;1;1;1;88
